Signal Legend:

Key        Signal Name

0        = data0[0..13]
1        = data0[14]
2        = data0[15]

Data Table:

Signals-> 0     1 2 

sample

-785      0051h 0 0 
-784      3EE8h 0 0 
-783      004Fh 0 0 
-782      004Dh 0 0 
-781      0074h 0 0 
-780      3F0Fh 0 0 
-779      004Eh 0 0 
-778      004Ch 0 0 
-777      0051h 0 0 
-776      3EECh 0 0 
-775      004Eh 0 0 
-774      004Eh 0 0 
-773      0052h 0 0 
-772      3EDEh 0 0 
-771      004Bh 0 0 
-770      004Ch 0 0 
-769      004Eh 0 0 
-768      3EDCh 0 0 
-767      004Dh 0 0 
-766      004Dh 0 0 
-765      0051h 0 0 
-764      3EDCh 0 0 
-763      004Eh 0 0 
-762      004Dh 0 0 
-761      0052h 0 0 
-760      3ED7h 0 0 
-759      004Fh 0 0 
-758      004Eh 0 0 
-757      004Fh 0 0 
-756      3EDFh 0 0 
-755      004Eh 0 0 
-754      004Dh 0 0 
-753      0052h 0 0 
-752      3EE5h 0 0 
-751      004Eh 0 0 
-750      004Bh 0 0 
-749      004Fh 0 0 
-748      3EDAh 0 0 
-747      004Bh 0 0 
-746      004Fh 0 0 
-745      0053h 0 0 
-744      3EE7h 0 0 
-743      0051h 0 0 
-742      004Dh 0 0 
-741      0052h 0 0 
-740      3EF1h 0 0 
-739      004Eh 0 0 
-738      004Dh 0 0 
-737      0029h 0 0 
-736      3EE6h 0 0 
-735      004Eh 0 0 
-734      004Eh 0 0 
-733      004Eh 0 0 
-732      3EE8h 0 0 
-731      004Eh 0 0 
-730      004Eh 0 0 
-729      0052h 0 0 
-728      3EDFh 0 0 
-727      004Eh 0 0 
-726      004Ch 0 0 
-725      0052h 0 0 
-724      3ED9h 0 0 
-723      004Eh 0 0 
-722      004Eh 0 0 
-721      0052h 0 0 
-720      3EDBh 0 0 
-719      004Ah 0 0 
-718      004Ch 0 0 
-717      0051h 0 0 
-716      3EE6h 0 0 
-715      0052h 0 0 
-714      004Ch 0 0 
-713      0052h 0 0 
-712      3EEFh 0 0 
-711      004Ch 0 0 
-710      004Eh 0 0 
-709      004Ah 0 0 
-708      3EF2h 0 0 
-707      004Ah 0 0 
-706      004Ch 0 0 
-705      0053h 0 0 
-704      3EE6h 0 0 
-703      0051h 0 0 
-702      004Dh 0 0 
-701      0051h 0 0 
-700      3EFAh 0 0 
-699      004Ah 0 0 
-698      004Ch 0 0 
-697      0053h 0 0 
-696      3EE1h 0 0 
-695      004Fh 0 0 
-694      004Eh 0 0 
-693      005Dh 0 0 
-692      3EE5h 0 0 
-691      004Eh 0 0 
-690      004Dh 0 0 
-689      0053h 0 0 
-688      3F08h 0 0 
-687      004Ch 0 0 
-686      0051h 0 0 
-685      0051h 0 0 
-684      3ED3h 0 0 
-683      004Ch 0 0 
-682      004Bh 0 0 
-681      0056h 0 0 
-680      3EC8h 0 0 
-679      004Dh 0 0 
-678      004Eh 0 0 
-677      0050h 0 0 
-676      3EBBh 0 0 
-675      004Eh 0 0 
-674      004Eh 0 0 
-673      0051h 0 0 
-672      3EDCh 0 0 
-671      0053h 0 0 
-670      004Eh 0 0 
-669      0053h 0 0 
-668      3EEAh 0 0 
-667      004Ch 0 0 
-666      004Ch 0 0 
-665      0054h 0 0 
-664      3EE7h 0 0 
-663      004Dh 0 0 
-662      004Eh 0 0 
-661      0052h 0 0 
-660      3EF1h 0 0 
-659      004Fh 0 0 
-658      004Dh 0 0 
-657      0050h 0 0 
-656      3EC6h 0 0 
-655      004Dh 0 0 
-654      004Dh 0 0 
-653      0052h 0 0 
-652      3EF3h 0 0 
-651      004Eh 0 0 
-650      004Eh 0 0 
-649      004Dh 0 0 
-648      3EF1h 0 0 
-647      004Fh 0 0 
-646      004Ch 0 0 
-645      0055h 0 0 
-644      3ED2h 0 0 
-643      004Ch 0 0 
-642      004Ch 0 0 
-641      0050h 0 0 
-640      3EC3h 0 0 
-639      004Dh 0 0 
-638      004Bh 0 0 
-637      0052h 0 0 
-636      3ECAh 0 0 
-635      004Fh 0 0 
-634      004Eh 0 0 
-633      004Ch 0 0 
-632      3ED2h 0 0 
-631      004Dh 0 0 
-630      004Eh 0 0 
-629      0053h 0 0 
-628      3EDBh 0 0 
-627      004Ch 0 0 
-626      004Ch 0 0 
-625      0054h 0 0 
-624      3EDEh 0 0 
-623      0050h 0 0 
-622      004Ah 0 0 
-621      0053h 0 0 
-620      3EDDh 0 0 
-619      004Fh 0 0 
-618      004Dh 0 0 
-617      004Bh 0 0 
-616      3EE2h 0 0 
-615      004Eh 0 0 
-614      004Dh 0 0 
-613      004Eh 0 0 
-612      3ED7h 0 0 
-611      004Dh 0 0 
-610      004Dh 0 0 
-609      0052h 0 0 
-608      3EE7h 0 0 
-607      004Eh 0 0 
-606      004Ah 0 0 
-605      005Fh 0 0 
-604      3EEDh 0 0 
-603      004Fh 0 0 
-602      0048h 0 0 
-601      0053h 0 0 
-600      3EE5h 0 0 
-599      0051h 0 0 
-598      004Dh 0 0 
-597      0051h 0 0 
-596      3ED8h 0 0 
-595      004Eh 0 0 
-594      004Dh 0 0 
-593      0051h 0 0 
-592      3EDAh 0 0 
-591      004Bh 0 0 
-590      004Ah 0 0 
-589      0050h 0 0 
-588      3EF0h 0 0 
-587      004Eh 0 0 
-586      0050h 0 0 
-585      0052h 0 0 
-584      3EDBh 0 0 
-583      004Eh 0 0 
-582      004Ch 0 0 
-581      0052h 0 0 
-580      3EDEh 0 0 
-579      004Ch 0 0 
-578      004Eh 0 0 
-577      0051h 0 0 
-576      3EE6h 0 0 
-575      0053h 0 0 
-574      004Fh 0 0 
-573      0053h 0 0 
-572      3EE6h 0 0 
-571      004Eh 0 0 
-570      004Ch 0 0 
-569      0050h 0 0 
-568      3EC1h 0 0 
-567      004Dh 0 0 
-566      004Fh 0 0 
-565      0050h 0 0 
-564      3EE6h 0 0 
-563      004Fh 0 0 
-562      004Ch 0 0 
-561      0058h 0 0 
-560      3EE1h 0 0 
-559      004Dh 0 0 
-558      004Ch 0 0 
-557      004Eh 0 0 
-556      3EDBh 0 0 
-555      004Dh 0 0 
-554      004Ch 0 0 
-553      0053h 0 0 
-552      3ED9h 0 0 
-551      004Dh 0 0 
-550      004Ch 0 0 
-549      0050h 0 0 
-548      3ED7h 0 0 
-547      004Fh 0 0 
-546      004Eh 0 0 
-545      0052h 0 0 
-544      3ED7h 0 0 
-543      004Dh 0 0 
-542      004Dh 0 0 
-541      0052h 0 0 
-540      3EDDh 0 0 
-539      004Ch 0 0 
-538      004Ch 0 0 
-537      0058h 0 0 
-536      3ED0h 0 0 
-535      0051h 0 0 
-534      004Fh 0 0 
-533      0054h 0 0 
-532      3EE7h 0 0 
-531      0050h 0 0 
-530      004Eh 0 0 
-529      0052h 0 0 
-528      3EE2h 0 0 
-527      004Bh 0 0 
-526      004Dh 0 0 
-525      0052h 0 0 
-524      3EE6h 0 0 
-523      004Fh 0 0 
-522      004Fh 0 0 
-521      0052h 0 0 
-520      3EE5h 0 0 
-519      004Fh 0 0 
-518      004Eh 0 0 
-517      0054h 0 0 
-516      3EF6h 0 0 
-515      004Ah 0 0 
-514      004Eh 0 0 
-513      0051h 0 0 
-512      3EE7h 0 0 
-511      004Ch 0 0 
-510      004Eh 0 0 
-509      0051h 0 0 
-508      3ED8h 0 0 
-507      004Fh 0 0 
-506      004Dh 0 0 
-505      0051h 0 0 
-504      3EEAh 0 0 
-503      004Dh 0 0 
-502      004Ch 0 0 
-501      0052h 0 0 
-500      3EDEh 0 0 
-499      004Eh 0 0 
-498      004Dh 0 0 
-497      004Dh 0 0 
-496      3ED8h 0 0 
-495      004Fh 0 0 
-494      004Ch 0 0 
-493      0052h 0 0 
-492      3EE3h 0 0 
-491      004Fh 0 0 
-490      004Eh 0 0 
-489      0053h 0 0 
-488      3EEBh 0 0 
-487      004Dh 0 0 
-486      004Eh 0 0 
-485      004Eh 0 0 
-484      3EE8h 0 0 
-483      004Ch 0 0 
-482      004Ch 0 0 
-481      0051h 0 0 
-480      3EE1h 0 0 
-479      004Ch 0 0 
-478      004Ah 0 0 
-477      0050h 0 0 
-476      3ED5h 0 0 
-475      0051h 0 0 
-474      004Fh 0 0 
-473      004Fh 0 0 
-472      3EE5h 0 0 
-471      004Dh 0 0 
-470      004Dh 0 0 
-469      0054h 0 0 
-468      3ECAh 0 0 
-467      004Eh 0 0 
-466      004Ch 0 0 
-465      0052h 0 0 
-464      3ED6h 0 0 
-463      004Dh 0 0 
-462      004Ch 0 0 
-461      0053h 0 0 
-460      3ECCh 0 0 
-459      004Fh 0 0 
-458      004Eh 0 0 
-457      004Ah 0 0 
-456      3ED5h 0 0 
-455      0049h 0 0 
-454      004Dh 0 0 
-453      0058h 0 0 
-452      3ED9h 0 0 
-451      004Bh 0 0 
-450      0049h 0 0 
-449      0053h 0 0 
-448      3EF4h 0 0 
-447      0050h 0 0 
-446      004Dh 0 0 
-445      004Ah 0 0 
-444      3EDEh 0 0 
-443      004Eh 0 0 
-442      004Eh 0 0 
-441      004Ch 0 0 
-440      3EE5h 0 0 
-439      004Fh 0 0 
-438      004Eh 0 0 
-437      0055h 0 0 
-436      3EE3h 0 0 
-435      004Dh 0 0 
-434      004Eh 0 0 
-433      0056h 0 0 
-432      3EE6h 0 0 
-431      0053h 0 0 
-430      004Eh 0 0 
-429      004Eh 0 0 
-428      3ED2h 0 0 
-427      004Dh 0 0 
-426      004Eh 0 0 
-425      0054h 0 0 
-424      3ED8h 0 0 
-423      0050h 0 0 
-422      004Dh 0 0 
-421      0052h 0 0 
-420      3ED4h 0 0 
-419      004Dh 0 0 
-418      004Ch 0 0 
-417      0051h 0 0 
-416      3ED0h 0 0 
-415      004Dh 0 0 
-414      0049h 0 0 
-413      0052h 0 0 
-412      3EDFh 0 0 
-411      004Dh 0 0 
-410      0050h 0 0 
-409      0052h 0 0 
-408      3EDFh 0 0 
-407      0050h 0 0 
-406      004Ch 0 0 
-405      0051h 0 0 
-404      3EDAh 0 0 
-403      004Dh 0 0 
-402      004Ah 0 0 
-401      0050h 0 0 
-400      3EE0h 0 0 
-399      004Eh 0 0 
-398      0050h 0 0 
-397      0052h 0 0 
-396      3EE9h 0 0 
-395      0052h 0 0 
-394      004Bh 0 0 
-393      0051h 0 0 
-392      3EE2h 0 0 
-391      004Ah 0 0 
-390      004Ch 0 0 
-389      0052h 0 0 
-388      3F4Fh 0 0 
-387      004Bh 0 0 
-386      0050h 0 0 
-385      0052h 0 0 
-384      3F00h 0 0 
-383      004Dh 0 0 
-382      004Dh 0 0 
-381      0050h 0 0 
-380      3EE5h 0 0 
-379      004Dh 0 0 
-378      004Ch 0 0 
-377      004Fh 0 0 
-376      3EDBh 0 0 
-375      004Dh 0 0 
-374      004Dh 0 0 
-373      0051h 0 0 
-372      3EDDh 0 0 
-371      004Eh 0 0 
-370      004Eh 0 0 
-369      0051h 0 0 
-368      3EDDh 0 0 
-367      0051h 0 0 
-366      004Eh 0 0 
-365      004Fh 0 0 
-364      3EECh 0 0 
-363      004Dh 0 0 
-362      004Dh 0 0 
-361      0052h 0 0 
-360      3EEBh 0 0 
-359      0054h 0 0 
-358      004Eh 0 0 
-357      0052h 0 0 
-356      3EE5h 0 0 
-355      004Ch 0 0 
-354      004Eh 0 0 
-353      0051h 0 0 
-352      3EE7h 0 0 
-351      0051h 0 0 
-350      004Dh 0 0 
-349      0051h 0 0 
-348      3EE5h 0 0 
-347      004Ah 0 0 
-346      004Ch 0 0 
-345      0052h 0 0 
-344      3EF4h 0 0 
-343      004Dh 0 0 
-342      004Eh 0 0 
-341      0052h 0 0 
-340      3EE9h 0 0 
-339      004Ah 0 0 
-338      004Eh 0 0 
-337      0051h 0 0 
-336      3ED8h 0 0 
-335      004Dh 0 0 
-334      004Dh 0 0 
-333      004Dh 0 0 
-332      3EDAh 0 0 
-331      004Eh 0 0 
-330      004Dh 0 0 
-329      0052h 0 0 
-328      3EC9h 0 0 
